Eb/N0 (dB),"5G LDPC minsum, (n=1000)","Conv. Code w/ Viterbi, (n=1000)","Turbo Code, (n=1000)","5G LDPC minsum, (n=8000)","Conv. Code w/ Viterbi, (n=8000)","Turbo Code, (n=8000)"
-1.0,0.281594,0.2597568,0.1654564,0.256822625,0.260989875,0.166362575
-0.75,0.2753132,0.22994,0.153816,0.250990175,0.230063225,0.154405125
-0.5,0.2694904,0.1993408,0.1401348,0.24503335,0.199190925,0.14141
-0.25,0.2624872,0.1677062,0.1246596,0.23855265,0.16766925,0.126258325
0.0,0.255679,0.1384912,0.1070828,0.23184635,0.13694205,0.108774225
0.25,0.2471532,0.1105132,0.0855472,0.2250704,0.10877355,0.0880122
0.5,0.2377238,0.085859,0.061717,0.217496775,0.083686525,0.06239315
0.75,0.2248296,0.0638232,0.0391966,0.209237675,0.0622034,0.033399675
1.0,0.202347,0.0459278,0.0199912,0.199982425,0.044518325,0.01039285
1.25,0.162603,0.0327628,0.0077476,0.1874661,0.030588475,0.00152585
1.5,0.1090622,0.0224448,0.0027512,0.148072925,0.020614425,0.0001748
1.75,0.0571352,0.0145004,0.0007816,0.043375025,0.013395725,3.3325e-05
2.0,0.0209202,0.009301,0.0002584,0.001604925,0.008361725,1.138125e-05
2.25,0.0055928,0.005921,6.606666666666667e-05,3.616875e-06,0.005062625,4.96875e-06
2.5,0.00081596,0.00392,3.150909090909091e-05,0.0,0.003022875,2.0592105263157895e-06
2.75,8.4275e-05,0.0022978,1.42e-05,0.0,0.001725375,9.41025641025641e-07
3.0,5.15e-06,0.0014874,6.755e-06,0.0,0.000988125,4.83125e-07
3.25,0.0,0.0009654,3.27e-06,0.0,0.000547025,1.90625e-07
3.5,0.0,0.000616,1.46e-06,0.0,0.00029865,8.8125e-08
3.75,0.0,0.000432,6.9e-07,0.0,0.0001719,1.5e-08
4.0,0.0,0.0002746,2.7e-07,0.0,8.6575e-05,1.375e-08
4.25,0.0,0.0001892,4e-08,0.0,5.065e-05,7.5e-09
4.5,0.0,0.0001398,4e-08,0.0,3.0275e-05,1.25e-09
4.75,0.0,8.78e-05,1e-08,0.0,1.6075e-05,0.0
