Eb/N0 (dB),"5G LDPC minsum, (n=1000)","Conv. Code w/ Viterbi, (n=1000)","Turbo Code, (n=1000)","5G LDPC minsum, (n=2000)","Conv. Code w/ Viterbi, (n=2000)","Turbo Code, (n=2000)","5G LDPC minsum, (n=4000)","Conv. Code w/ Viterbi, (n=4000)","Turbo Code, (n=4000)","5G LDPC minsum, (n=8000)","Conv. Code w/ Viterbi, (n=8000)","Turbo Code, (n=8000)"
-1.0,0.281894,0.261046,0.16455,0.275737,0.260844,0.166183,0.275756,0.261621,0.167135,0.2572625,0.260679,0.16718175
-0.5,0.269692,0.201792,0.140434,0.26397,0.200508,0.141177,0.264829,0.197533,0.140659,0.2451765,0.1993085,0.14135625
0.0,0.255078,0.137218,0.107206,0.250636,0.13867,0.107946,0.2517845,0.137114,0.10919,0.23163275,0.1375865,0.108658
0.5,0.237478,0.085166,0.062288,0.235822,0.086252,0.062047,0.237609,0.0845595,0.0614175,0.21777725,0.083611,0.0624965
1.0,0.2028,0.047442,0.019754,0.214344,0.045355,0.014856,0.2184295,0.0444615,0.0116215,0.1995835,0.0437555,0.0100275
1.5,0.11691,0.021514,0.0027235,0.118946,0.021473,0.001005,0.138578,0.020943,0.00032325,0.14651725,0.02031875,0.000152625
2.0,0.022664,0.009792,0.00023975,0.01135,0.008526,6.258333333333333e-05,0.0039353125,0.008702,1.177e-05,0.001589625,0.0083045,1.2109756097560975e-05
2.5,0.00084336,0.003952,3.036e-05,7.236e-05,0.0033485,1.28e-05,0.0,0.0031175,1.93e-06,0.0,0.00294725,2.225e-06
3.0,8.96e-06,0.0014725,6.6e-06,0.0,0.0011696666666666667,2.54e-06,0.0,0.00109725,4.4e-07,0.0,0.00095375,3.2e-07
3.5,0.0,0.0006216666666666666,1.8e-06,0.0,0.0004572,4.8e-07,0.0,0.000338875,7e-08,0.0,0.00029725,1.5e-08
4.0,0.0,0.00029236363636363634,2e-07,0.0,0.00015318181818181818,2e-07,0.0,0.000122,0.0,0.0,8.908333333333333e-05,0.0
4.5,0.0,0.00012354545454545455,0.0,0.0,6.823809523809523e-05,0.0,0.0,4.376470588235294e-05,0.0,0.0,3.060714285714286e-05,0.0
